document_id,document_perfect,error_count,invoice_info.invoice_no_gt,invoice_info.invoice_no_pred,invoice_info.invoice_no_status,invoice_info.issue_date_gt,invoice_info.issue_date_pred,invoice_info.issue_date_status,seller_info.tax_code_gt,seller_info.tax_code_pred,seller_info.tax_code_status,seller_info.legal_name_gt,seller_info.legal_name_pred,seller_info.legal_name_status,buyer_info.tax_code_gt,buyer_info.tax_code_pred,buyer_info.tax_code_status,buyer_info.legal_name_gt,buyer_info.legal_name_pred,buyer_info.legal_name_status,totals.total_amount_before_tax_gt,totals.total_amount_before_tax_pred,totals.total_amount_before_tax_status,totals.total_tax_amount_gt,totals.total_tax_amount_pred,totals.total_tax_amount_status,totals.total_amount_after_tax_gt,totals.total_amount_after_tax_pred,totals.total_amount_after_tax_status
INV_20260602_0000001,False,2,0000001,0000001,MATCH,2026-06-02,2026-06-02,MATCH,0101234567,0101234567,MATCH,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,MATCH,0302867825,0302867825,MATCH,DOANH NGHIỆP TƯ NHÂN GAMMA,DOANH NGHIỆP TƯ NHÂN GAMMA,MATCH,2400000,1100000.0,VALUE_MISMATCH,240000,0.0,VALUE_MISMATCH,2640000,2640000.0,MATCH
INV_20260602_0000002,False,1,0000002,0000002,MATCH,2026-06-02,2026-06-02,MATCH,0101234567,0101234567,MATCH,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,MATCH,0304744854,0304744854,MATCH,CÔNG TY TNHH THƯƠNG MẠI ALPHA,CÔNG TY TNHH THƯƠNG MẠI ALPHA,MATCH,2600000,2600000.0,MATCH,260000,0.0,VALUE_MISMATCH,2860000,2860000.0,MATCH
INV_20260602_0000003,False,1,0000003,0000003,MATCH,2026-06-02,2026-06-02,MATCH,0101234567,0101234567,MATCH,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,MATCH,0302458591,0302458591,MATCH,DOANH NGHIỆP TƯ NHÂN GAMMA,DOANH NGHIỆP TƯ NHÂN GAMMA,MATCH,6500000,6500000.0,MATCH,650000,0.0,VALUE_MISMATCH,7150000,7150000.0,MATCH
INV_20260602_0000004,False,1,0000004,0000004,MATCH,2026-06-02,2026-06-02,MATCH,0101234567,0101234567,MATCH,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,MATCH,0301499914,0301499914,MATCH,CÔNG TY TNHH THƯƠNG MẠI ALPHA,CÔNG TY TNHH THƯƠNG MẠI ALPHA,MATCH,2600000,2600000.0,MATCH,260000,0.0,VALUE_MISMATCH,2860000,2860000.0,MATCH
INV_20260602_0000005,False,1,0000005,0000005,MATCH,2026-06-02,2026-06-02,MATCH,0101234567,0101234567,MATCH,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,MATCH,0309478454,0309478454,MATCH,CÔNG TY TNHH THƯƠNG MẠI ALPHA,CÔNG TY TNHH THƯƠNG MẠI ALPHA,MATCH,5300000,5300000.0,MATCH,530000,0.0,VALUE_MISMATCH,5830000,5830000.0,MATCH
INV_20260602_0000006,False,1,0000006,0000006,MATCH,2026-06-02,2026-06-02,MATCH,0101234567,0101234567,MATCH,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,MATCH,0304335942,0304335942,MATCH,DOANH NGHIỆP TƯ NHÂN GAMMA,DOANH NGHIỆP TƯ NHÂN GAMMA,MATCH,6200000,6200000.0,MATCH,620000,0.0,VALUE_MISMATCH,6820000,6820000.0,MATCH
INV_20260602_0000007,False,1,0000007,0000007,MATCH,2026-06-02,2026-06-02,MATCH,0101234567,0101234567,MATCH,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,MATCH,0308536477,0308536477,MATCH,CÔNG TY TNHH THƯƠNG MẠI ALPHA,CÔNG TY TNHH THƯƠNG MẠI ALPHA,MATCH,6000000,6000000.0,MATCH,600000,0.0,VALUE_MISMATCH,6600000,6600000.0,MATCH
INV_20260602_0000008,False,1,0000008,0000008,MATCH,2026-06-02,2026-06-02,MATCH,0101234567,0101234567,MATCH,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,MATCH,0303678638,0303678638,MATCH,CÔNG TY TNHH THƯƠNG MẠI ALPHA,CÔNG TY TNHH THƯƠNG MẠI ALPHA,MATCH,5200000,5200000.0,MATCH,520000,0.0,VALUE_MISMATCH,5720000,5720000.0,MATCH
INV_20260602_0000009,False,2,0000009,0000009,MATCH,2026-06-02,2026-06-02,MATCH,0101234567,0101234567,MATCH,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,MATCH,0303608513,0303608513,MATCH,CÔNG TY CỔ PHẦN BETA,CÔNG TY CỔ PHẦN BETA,MATCH,3800000,2450000.0,VALUE_MISMATCH,380000,0.0,VALUE_MISMATCH,4180000,4180000.0,MATCH
INV_20260602_0000010,False,1,0000010,0000010,MATCH,2026-06-02,2026-06-02,MATCH,0101234567,0101234567,MATCH,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,MATCH,0302556017,0302556017,MATCH,CÔNG TY TNHH THƯƠNG MẠI ALPHA,CÔNG TY TNHH THƯƠNG MẠI ALPHA,MATCH,4200000,4200000.0,MATCH,420000,0.0,VALUE_MISMATCH,4620000,4620000.0,MATCH
